age,storeys,score,latitude,longitude,graffiti,cladding,grounds,walkways
43,14,62,43.664421836,-79.37226324,5,3,3,3
30,5,77,43.6806482749,-79.418061916,5,4,3,4
31,7,62,43.718487778,-79.429895751,4,3,3,3
40,12,65,43.7219200782,-79.4309398102,4,3,3,3
39,14,56,43.7435749087,-79.5669913807,4,3,3,3
29,7,73,43.702657978,-79.297997207,5,3,3,3
53,10,77,43.7583695279,-79.2234312468,5,3,4,4
66,4,58,43.717314184,-79.443949262,4,3,3,3
66,4,58,43.717989875,-79.444116728,4,2,3,3
66,3,64,43.719043907,-79.4433371886,5,3,3,4
53,3,66,43.678805057700004,-79.3358716026,5,4,3,3
53,13,46,43.759551821,-79.230166356,2,3,2,2
53,13,53,43.760034357,-79.229764837,3,4,2,3
45,4,71,43.6562790378,-79.3937588727,4,4,4,3
61,12,56,43.7029523574,-79.2810286285,4,3,3,2
66,3,64,43.719157062,-79.442145009,5,3,3,3
66,3,60,43.718613593,-79.442694709,3,3,3,3
66,4,63,43.719109071,-79.444361414,3,3,3,4
66,4,63,43.7187381977,-79.4460430714,3,3,3,3
38,9,76,43.7025767096,-79.4383002971,5,4,3,4
66,4,57,43.718500015,-79.447329934,2,3,3,4
23,7,80,43.639312743,-79.399107317,5,4,4,4
53,18,66,43.736255093,-79.256313276,4,2,4,3
52,24,54,43.6970038322,-79.287792292,2,3,3,3
52,24,53,43.6972076653,-79.2864410678,2,3,3,3
31,6,68,43.616184074,-79.49590117,5,3,3,3
46,7,64,43.6154876721,-79.4969959174,4,3,3,3
53,4,66,43.78785777,-79.408640775,4,3,3,4
35,6,83,43.634496448,-79.39997992,5,3,4,4
33,7,73,43.639890151,-79.399333531,3,4,4,3
45,9,64,43.670812011,-79.453749486,4,3,3,3
62,3,66,43.6642540945,-79.3598482523,5,3,3,3
55,17,62,43.66925972,-79.457795659,3,3,3,3
65,4,61,43.6597146756,-79.4617878892,5,3,3,3
37,14,77,43.7759712605,-79.4152224497,5,4,4,4
36,6,79,43.7140481865,-79.3993963134,5,4,4,4
86,4,71,43.7180441891,-79.4001039683,5,3,4,4
53,4,71,43.7184879937,-79.4001063407,5,3,4,4
62,6,64,43.662525313,-79.371459917,5,3,3,3
54,6,61,43.651687962,-79.400557945,2,3,3,3
46,9,71,43.6847713094,-79.4220013405,5,4,3,4
40,7,74,43.6855290809,-79.4222487062,5,3,3,4
59,15,63,43.705953312,-79.279044598,4,4,3,3
22,11,56,43.6728402188,-79.339881471,2,2,3,3
67,3,67,43.710430484,-79.397121509,5,3,4,4
63,4,60,43.6665389642,-79.3280634035,3,3,3,3
105,3,63,43.6419758468,-79.4348296425,5,3,3,3
54,11,56,43.72687441,-79.265289789,3,2,3,3
58,6,74,43.6658597162,-79.3160434122,5,3,4,3
57,11,59,43.7222134695,-79.5079300215,4,3,3,3
50,12,60,43.701195372,-79.547954529,3,3,3,4
50,12,62,43.702256035,-79.548440591,3,3,3,4
66,3,59,43.719074422,-79.441290791,5,2,3,4
52,12,62,43.7693818631,-79.284775411,3,2,3,4
52,12,63,43.7677640295,-79.2844534267,4,3,3,4
54,3,50,43.726760854,-79.263575088,3,3,3,3
54,3,50,43.727206754,-79.263241732,2,3,3,3
58,12,60,43.7426229529,-79.22004925,3,3,3,3
15,4,69,43.740025128,-79.509714967,5,4,3,3
56,10,59,43.728881268,-79.546722096,4,3,3,3
53,8,58,43.7142950675,-79.2692166242,3,3,3,3
55,9,56,43.7145219871,-79.2681489006,3,3,3,3
30,14,64,43.6006696381,-79.5115220432,5,3,3,3
61,8,74,43.7598478794,-79.3194127987,5,3,4,4
52,20,59,43.640216059,-79.433778346,4,3,3,3
113,4,70,43.6667667454,-79.3716022421,5,3,4,4
54,6,54,43.66565391,-79.318697282,4,2,3,3
51,16,68,43.6169208542,-79.499346131,5,4,3,3
33,5,72,43.7339142779,-79.3489216558,5,3,3,4
61,7,72,43.759507201,-79.320050542,4,3,4,4
57,7,71,43.717195772,-79.300999236,4,3,4,4
54,42,59,43.695629657,-79.302310982,4,3,3,3
53,3,59,43.7631593909,-79.2047559,3,3,2,3
46,10,71,43.7214717977,-79.3024586823,5,3,4,4
64,11,70,43.6421900653,-79.4363583389,5,3,3,4
56,11,66,43.7155652564,-79.3046724013,5,3,3,3
68,3,59,43.7064506482,-79.4893217524,3,3,3,3
68,3,59,43.706344038,-79.4898898343,2,3,3,3
43,9,61,43.6013719933,-79.501536643,4,3,3,3
70,8,66,43.6391465077,-79.4377377181,5,3,3,4
49,18,63,43.667270761,-79.44567156,4,4,3,3
66,3,71,43.7194419613,-79.4399793206,5,3,2,4
66,3,66,43.7196194362,-79.4407985931,5,2,2,4
51,11,62,43.73164966,-79.277903946,5,3,3,3
51,4,62,43.7420099966,-79.5008716177,5,3,3,3
34,7,68,43.635062111,-79.437601411,5,4,3,3
15,4,51,43.752199466,-79.543966801,3,3,3,3
54,21,45,43.668827347,-79.373701881,2,3,2,2
54,24,49,43.669381383,-79.37437191,3,2,3,3
54,24,55,43.670607632,-79.374814757,2,3,2,2
58,11,56,43.7376027043,-79.5808305747,4,3,3,3
33,8,76,43.6525396289,-79.3761942758,5,4,4,3
51,16,60,43.726954137,-79.252290284,5,3,3,3
51,17,57,43.726764513,-79.250888477,5,3,2,3
39,13,58,43.7312483321,-79.6118048951,4,3,3,3
58,7,54,43.7383578677,-79.580925169,4,3,3,3
58,7,57,43.7378797045,-79.581199625,5,3,3,3
54,16,67,43.777612123,-79.2311695919,3,3,4,5
54,16,71,43.7778550011,-79.2300331798,4,3,4,4
53,6,58,43.7363547556,-79.2553148807,3,3,3,3
53,6,58,43.7365696854,-79.255181683,3,3,3,3
43,7,66,43.6395518816,-79.4281871995,5,3,3,3
52,29,59,43.695648592,-79.291287219,3,3,3,3
63,11,64,43.7496851095,-79.55739159,5,3,3,2
53,3,68,43.693274018,-79.516001007,4,4,3,3
52,4,66,43.693720176,-79.516153969,5,4,3,3
69,4,70,43.6380615683,-79.4937696446,5,3,4,4
71,3,71,43.717730278,-79.5372015088,5,3,3,3
53,3,59,43.763624835,-79.2044874649,5,3,3,3
53,3,54,43.7630131413,-79.2041400469,3,3,3,3
53,19,49,43.7638127672,-79.2038167415,3,2,3,4
31,6,68,43.6366736608,-79.4376587469,5,4,3,4
65,3,69,43.6398314682,-79.4928529071,5,4,3,3
52,15,59,43.778310557,-79.323533534,3,3,3,3
52,15,63,43.779266937,-79.323413406,4,3,3,3
31,7,69,43.6366904799,-79.428980996,5,3,3,4
49,7,66,43.637330091,-79.430147711,5,4,3,4
51,4,63,43.7429406222,-79.5009610922,5,3,3,3
22,8,88,43.751291266,-79.332886312,5,4,4,4
65,4,65,43.7265495174,-79.3191883621,5,3,3,4
51,14,72,43.79163957,-79.446195585,5,4,3,4
61,3,59,43.722615158,-79.306619676,5,2,3,3
34,3,66,43.735314433,-79.446969691,5,3,4,3
44,6,74,43.64755666,-79.370208586,4,4,4,4
43,5,73,43.646859159,-79.369670022,3,4,4,4
38,16,65,43.6573608881,-79.3829351361,5,3,3,4
214,4,56,43.6590989799,-79.3715644023,4,3,3,3
61,19,68,43.6460539737,-79.5307204915,5,3,3,4
50,20,58,43.652915828,-79.564476577,4,3,3,3
60,7,64,43.7587471272,-79.319372054,4,3,3,3
60,8,64,43.7593614541,-79.318888833,5,3,3,3
7,12,81,43.653300151,-79.35672646,5,4,4,4
123,7,69,43.6535746622,-79.3726782657,3,3,4,4
57,12,59,43.7517238195,-79.3143707442,5,3,3,3
57,12,63,43.750896864,-79.31418886,5,3,3,3
56,17,73,43.773329003,-79.341901346,5,4,4,3
54,15,78,43.7763920506,-79.3495861019,5,3,5,4
60,6,63,43.693937882,-79.516889548,4,3,3,4
94,5,63,43.665901023,-79.381806918,5,3,3,3
95,3,63,43.6668236077,-79.3771743291,5,3,3,3
53,20,59,43.6602721446,-79.3823063131,4,3,3,3
59,3,55,43.7197813249,-79.5153042212,2,3,2,3
57,18,73,43.786395807,-79.353703275,5,4,3,4
29,5,66,43.6656354324,-79.386388138,4,4,3,3
39,18,56,43.733312244,-79.537225843,3,3,3,3
73,3,64,43.7388622795,-79.3416192822,5,3,3,3
43,16,66,43.673115479,-79.388725935,4,3,3,3
43,14,66,43.7583474577,-79.4386412229,5,3,3,3
82,4,63,43.7016899071,-79.4236478607,5,3,3,3
39,4,74,43.674947932,-79.317603815,4,4,4,4
44,3,66,43.7070607671,-79.3122799086,5,3,3,3
44,11,69,43.7204681732,-79.2391056557,5,3,3,3
53,16,67,43.740664525,-79.226955071,4,3,3,3
39,17,67,43.671910844,-79.38519572,4,4,3,3
62,4,70,43.7608810853,-79.3292989011,4,3,3,3
62,4,66,43.7611151725,-79.3287829754,4,3,3,3
58,8,68,43.7619582699,-79.3238669393,4,4,3,3
51,25,69,43.6708548485,-79.3850117463,4,4,3,3
53,4,66,43.6416711241,-79.4340706425,5,4,3,3
53,4,66,43.6419136101,-79.4340999173,5,3,3,3
9,8,80,43.656334944,-79.356596199,5,4,4,4
103,3,78,43.6377164768,-79.4326281965,5,4,3,4
18,8,81,43.654589844,-79.366707521,5,4,4,4
28,3,68,43.6616379459,-79.3298622257,3,4,3,3
71,3,61,43.700957687,-79.251492552,4,4,3,3
58,6,66,43.7413605871,-79.2245308289,5,3,3,3
63,7,64,43.7417156898,-79.2228457117,5,3,3,3
53,17,59,43.69932241,-79.254778669,3,3,3,3
41,3,64,43.6499749234,-79.3684698144,5,3,3,4
45,7,47,43.6571186557,-79.3709227315,2,3,2,3
52,15,77,43.7808585866,-79.2318241185,4,4,3,4
40,12,73,43.6462124055,-79.3747276084,5,4,4,3
28,8,69,43.655979748,-79.443829191,5,4,3,4
14,22,77,43.660500875,-79.36342677,5,4,3,4
96,3,61,43.663016124,-79.375476419,3,3,3,3
35,5,74,43.6594297929,-79.3361462421,5,4,4,4
31,6,77,43.656443931,-79.364457056,4,4,4,4
20,3,64,43.6661838696,-79.4459119791,5,3,3,4
43,5,68,43.672253431,-79.426653288,5,3,3,3
53,3,59,43.763475642,-79.2053061322,3,3,2,3
69,4,61,43.7354870834,-79.3066470427,2,3,3,3
44,10,62,43.7381014953,-79.3086822103,4,1,3,3
40,5,60,43.673917543,-79.422657829,3,3,3,2
43,4,79,43.655978441,-79.356219833,5,4,4,4
82,4,62,43.7014745383,-79.4245394908,4,3,3,3
40,5,78,43.705532569,-79.3114443458,5,4,4,4
40,11,60,43.654312877,-79.374349898,4,3,3,3
38,15,63,43.6591023749,-79.3763412035,4,3,2,2
79,4,64,43.647685867,-79.490964697,5,3,3,4
96,4,63,43.649230274,-79.495336571,4,3,3,3
43,6,53,43.662101254,-79.365506112,3,3,3,3
105,3,54,43.6807035895,-79.4169896238,3,3,3,2
31,5,72,43.741665101,-79.566395335,5,3,3,3
46,13,82,43.7599953268,-79.2217974394,5,4,4,4
48,13,77,43.776693031,-79.319134202,5,5,3,3
51,18,61,43.727612646,-79.251278648,3,3,3,3
63,6,63,43.759429906,-79.230999363,3,3,3,3
73,3,57,43.7233585034,-79.508865507,5,3,3,3
46,11,64,43.716291217,-79.556254054,5,3,3,3
43,3,57,43.662174654,-79.362077852,5,3,3,3
27,5,76,43.669541987,-79.333190936,5,4,4,4
59,15,65,43.703580346,-79.279521109,5,3,3,3
55,16,63,43.6952084517,-79.5537109023,4,3,3,3
32,6,79,43.6831806444,-79.3230461793,5,5,4,4
45,10,66,43.6937304177,-79.2786118075,5,4,3,3
44,16,72,43.661630397,-79.3815767552,5,3,3,4
27,5,75,43.660465246,-79.337007314,3,4,4,4
42,8,69,43.6698117311,-79.3407107259,3,4,3,4
68,5,60,43.6371995411,-79.493365223,5,3,2,3
28,4,80,43.6865275325,-79.5276550192,5,4,4,4
38,3,63,43.6570898108,-79.3615276679,5,3,3,3
58,5,60,43.7457790355,-79.2618378505,4,2,3,3
54,25,56,43.695391787,-79.303315109,1,3,3,3
63,6,66,43.75523277,-79.2505927043,3,4,4,4
